Date,Time,Open,High,Low,Close,Volume
2025-04-22,08:00,3468.62,3472.62,3465.91,3469.11,9543
2025-04-22,08:15,3469.1,3469.26,3463.12,3464.25,8745
2025-04-22,08:30,3464.25,3464.65,3451.04,3451.14,16113
2025-04-22,08:45,3451.15,3454.24,3443.14,3444.03,16491
2025-04-22,09:00,3444.04,3456.96,3443.96,3454.38,14085
2025-04-22,09:15,3454.37,3458.7,3453.74,3456.35,8290
2025-04-22,09:30,3456.35,3457.36,3451.37,3456.49,10562
2025-04-22,09:45,3456.51,3457.53,3451.01,3454.62,11699
2025-04-22,10:00,3454.64,3468.28,3454.63,3465.51,12221
2025-04-22,10:15,3465.52,3465.52,3455.24,3457.85,10802
2025-04-22,10:30,3457.81,3463.18,3454.41,3458.01,9828
2025-04-22,10:45,3458.01,3458.12,3451.3,3452.37,9272
2025-04-22,11:00,3452.35,3457.16,3448.25,3455.98,9199
2025-04-22,11:15,3455.97,3458.78,3450.27,3452.87,7130
2025-04-22,11:30,3452.87,3454.5,3448.12,3453.11,9208
2025-04-22,11:45,3453.12,3461.25,3452.83,3456.68,8344
2025-04-22,12:00,3456.68,3459.98,3452.61,3456.06,12113
2025-04-22,12:15,3456.07,3464.74,3451.28,3454.41,16648
2025-04-22,12:30,3454.41,3454.97,3441.68,3445.47,18826
2025-04-22,12:45,3445.45,3445.74,3424.19,3431.43,24398
2025-04-22,13:00,3431.43,3444.37,3420.55,3443.29,26225
2025-04-22,13:15,3443.27,3449.57,3435.54,3443.57,19348
2025-04-22,13:30,3443.58,3445.17,3411.11,3411.85,27008
2025-04-22,13:45,3411.84,3430.67,3408.39,3418.52,24845
2025-04-22,14:00,3418.49,3435.1,3417.83,3430.64,21210
2025-04-22,14:15,3430.64,3433.75,3423.4,3432.08,15064
2025-04-22,14:30,3432.16,3438.96,3431.32,3431.33,17080
2025-04-22,14:45,3431.33,3431.47,3424.44,3429.95,11872
2025-04-22,15:00,3429.96,3433.15,3419.2,3426.1,14123
2025-04-22,15:15,3426.1,3427.5,3412.04,3412.43,12074
2025-04-22,15:30,3412.41,3429.46,3410.32,3428.99,14334
2025-04-22,15:45,3428.99,3429.99,3414.64,3417.58,12176
2025-04-22,16:00,3417.56,3420.99,3405.12,3414.04,23522
2025-04-22,16:15,3414.04,3414.26,3385.08,3386.73,31215
2025-04-22,16:30,3386.73,3392.23,3372.09,3383.66,28268
2025-04-22,16:45,3383.68,3394.43,3381.46,3393.01,19356
2025-04-22,17:00,3393.03,3398.3,3386.05,3396.55,17130
2025-04-22,17:15,3396.55,3410.23,3395.82,3406.96,21209
2025-04-22,17:30,3406.98,3407.87,3396.02,3396.34,13708
2025-04-22,17:45,3396.34,3404.69,3395.71,3401.79,10078
2025-04-22,18:00,3401.77,3402.5,3392.74,3397.44,9347
2025-04-22,18:15,3397.35,3397.7,3386.06,3388.6,8539
2025-04-22,18:30,3388.6,3391.63,3380.99,3382.34,8024
2025-04-22,18:45,3382.32,3382.33,3373.12,3381.4,10153
